ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,8.9,21.45,537,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-12.55
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,26.34,60.27,1590,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-33.93
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,31.44,68.0,1898,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,-36.56
Regionali Speciali,Alto Reno Terme,Bologna,Emilia-Romagna,3057,2979,6036,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130005,0.0
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,14.54,27.2,1406,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-12.66
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,37.73,65.89,3647,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-28.16
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,43.22,74.64,4178,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,-31.42
Regionali Speciali,Anzola Dell'Emilia,Bologna,Emilia-Romagna,4867,4800,9667,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130010,0.0
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,12.93,25.08,995,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-12.15
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,37.36,65.89,2876,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-28.53
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,42.69,75.31,3286,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,-32.62
Regionali Speciali,Argelato,Bologna,Emilia-Romagna,3959,3739,7698,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130020,0.0
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,13.2,25.78,707,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-12.58
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,31.57,60.58,1691,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-29.01
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,36.17,69.74,1937,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,-33.57
Regionali Speciali,Baricella,Bologna,Emilia-Romagna,2700,2656,5356,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130030,0.0
Regionali Speciali,Bentivoglio,Bologna,Emilia-Romagna,2238,2233,4471,12.73,27.31,569,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130050,-14.58
Regionali Speciali,Bentivoglio,Bologna,Emilia-Romagna,2238,2233,4471,34.73,63.78,1553,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130050,-29.05
Regionali Speciali,Bentivoglio,Bologna,Emilia-Romagna,2238,2233,4471,40.26,73.35,1800,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130050,-33.09
Regionali Speciali,Bentivoglio,Bologna,Emilia-Romagna,2238,2233,4471,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130050,0.0
Regionali Speciali,Bologna,Bologna,Emilia-Romagna,162396,147381,309777,13.68,24.76,42388,2024-11-17,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130060,-11.08
Regionali Speciali,Bologna,Bologna,Emilia-Romagna,162396,147381,309777,35.93,60.82,111288,2024-11-17,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130060,-24.89
Regionali Speciali,Bologna,Bologna,Emilia-Romagna,162396,147381,309777,41.86,69.75,129682,2024-11-17,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/080130060,-27.89
